Type	TF	Acc	Cell	Tool
MOBI	FOXA1	3	K562	HOMER
MOBI	JUN	3	K562	HOMER
MOBI	GATA1	2	K562	HOMER
MOBI	GATA2	3	K562	HOMER
MOBI	MEF2A	2	K562	HOMER
MOBI	HES1	2	K562	HOMER
MOBI	TEAD4	1	K562	HOMER
MOBI	SREBF1	3	K562	HOMER
MOBI	GABPA	4	K562	HOMER
MOBI	SP1	3	K562	HOMER
MOBI	ELF4	1	K562	HOMER
MOBI	CREB3L1	1	K562	HOMER
MOBI	LEF1	2	K562	HOMER
MOBI	ZBTB33	0	K562	HOMER
MOBI	YBX1	1	K562	HOMER
SPP	E2F8	2	GM12878	MEME
SPP	SPI1	3	GM12878	MEME
SPP	ZBED1	1	GM12878	MEME
SPP	E2F4	2	GM12878	MEME
SPP	IRF3	0	GM12878	MEME
SPP	USF1	2	GM12878	MEME
SPP	JUND	2	GM12878	MEME
SPP	HSF1	2	GM12878	MEME
SPP	NFATC3	1	GM12878	MEME
SPP	TCF7	4	GM12878	MEME
SPP	ETS1	3	GM12878	MEME
SPP	YY1	3	GM12878	MEME
SPP	CEBPB	1	GM12878	MEME
SPP	MEF2B	2	GM12878	MEME
SPP	TBX21	3	GM12878	MEME
SPP	NR2C2	2	GM12878	MEME
SPP	NR2C1	1	GM12878	MEME
SPP	ZSCAN29	2	GM12878	MEME
SPP	CREM	3	GM12878	MEME
SPP	PAX5	1	GM12878	MEME
SPP	BHLHE40	1	GM12878	MEME
SPP	ZZZ3	0	GM12878	MEME
SPP	NFATC1	2	GM12878	MEME
SPP	SP1	2	GM12878	MEME
SPP	IRF5	1	GM12878	MEME
SPP	BCL11A	0	GM12878	MEME
SPP	ZNF384	3	GM12878	MEME
SPP	ETV6	1	GM12878	MEME
SPP	RUNX3	2	GM12878	MEME
SPP	FOS	0	GM12878	MEME
SPP	EBF1	2	GM12878	MEME
SPP	IRF4	2	GM12878	MEME
SPP	ELK1	2	GM12878	MEME
SPP	JUNB	2	GM12878	MEME
SPP	RXRA	0	GM12878	MEME
SPP	NR2F1	2	GM12878	MEME
SPP	MAFK	3	GM12878	MEME
SPP	BATF	3	GM12878	MEME
SPP	ZBTB33	1	GM12878	MEME
SPP	PKNOX1	0	GM12878	MEME
SPP	CTCF	3	GM12878	MEME
SPP	USF2	2	GM12878	MEME
SPP	ELF1	2	GM12878	MEME
SPP	ATF2	2	GM12878	MEME
SPP	RFX5	2	GM12878	MEME
SPP	YBX1	0	GM12878	MEME
SPP	KLF5	0	GM12878	MEME
SPP	CUX1	0	GM12878	MEME
SPP	MEF2A	2	GM12878	MEME
SPP	NFIC	0	GM12878	MEME
SPP	SRF	1	GM12878	MEME
SPP	ZNF143	2	GM12878	MEME
SPP	ATF7	1	GM12878	MEME
SPP	TCF12	1	GM12878	MEME
SPP	NRF1	2	GM12878	MEME
SPP	PAX8	0	GM12878	MEME
SPP	SMAD5	0	GM12878	MEME
SPP	RELA	2	GM12878	MEME
SPP	MAX	3	GM12878	MEME
SPP	ESRRA	3	GM12878	MEME
SPP	GABPA	2	GM12878	MEME
SPP	MEF2C	2	GM12878	MEME
SPP_short	E2F8	2	GM12878	MEME
SPP_short	SPI1	3	GM12878	MEME
SPP_short	ZBED1	1	GM12878	MEME
SPP_short	E2F4	2	GM12878	MEME
SPP_short	IRF3	1	GM12878	MEME
SPP_short	USF1	2	GM12878	MEME
SPP_short	JUND	2	GM12878	MEME
SPP_short	HSF1	4	GM12878	MEME
SPP_short	NFATC3	0	GM12878	MEME
SPP_short	TCF7	4	GM12878	MEME
SPP_short	ETS1	2	GM12878	MEME
SPP_short	YY1	4	GM12878	MEME
SPP_short	CEBPB	1	GM12878	MEME
SPP_short	MEF2B	0	GM12878	MEME
SPP_short	TBX21	3	GM12878	MEME
SPP_short	NR2C2	2	GM12878	MEME
SPP_short	NR2C1	2	GM12878	MEME
SPP_short	ZSCAN29	2	GM12878	MEME
SPP_short	CREM	1	GM12878	MEME
SPP_short	PAX5	4	GM12878	MEME
SPP_short	BHLHE40	1	GM12878	MEME
SPP_short	ZZZ3	0	GM12878	MEME
SPP_short	NFATC1	2	GM12878	MEME
SPP_short	SP1	0	GM12878	MEME
SPP_short	IRF5	0	GM12878	MEME
SPP_short	BCL11A	0	GM12878	MEME
SPP_short	ZNF384	3	GM12878	MEME
SPP_short	ETV6	4	GM12878	MEME
SPP_short	RUNX3	3	GM12878	MEME
SPP_short	FOS	1	GM12878	MEME
SPP_short	EBF1	2	GM12878	MEME
SPP_short	IRF4	2	GM12878	MEME
SPP_short	ELK1	2	GM12878	MEME
SPP_short	JUNB	1	GM12878	MEME
SPP_short	RXRA	1	GM12878	MEME
SPP_short	NR2F1	4	GM12878	MEME
SPP_short	MAFK	4	GM12878	MEME
SPP_short	BATF	1	GM12878	MEME
SPP_short	ZBTB33	0	GM12878	MEME
SPP_short	PKNOX1	0	GM12878	MEME
SPP_short	CTCF	3	GM12878	MEME
SPP_short	USF2	3	GM12878	MEME
SPP_short	ELF1	3	GM12878	MEME
SPP_short	ATF2	1	GM12878	MEME
SPP_short	RFX5	2	GM12878	MEME
SPP_short	YBX1	0	GM12878	MEME
SPP_short	KLF5	0	GM12878	MEME
SPP_short	CUX1	2	GM12878	MEME
SPP_short	MEF2A	2	GM12878	MEME
SPP_short	NFIC	0	GM12878	MEME
SPP_short	SRF	1	GM12878	MEME
SPP_short	ZNF143	1	GM12878	MEME
SPP_short	ATF7	1	GM12878	MEME
SPP_short	TCF12	1	GM12878	MEME
SPP_short	NRF1	2	GM12878	MEME
SPP_short	PAX8	2	GM12878	MEME
SPP_short	SMAD5	0	GM12878	MEME
SPP_short	RELA	2	GM12878	MEME
SPP_short	MAX	2	GM12878	MEME
SPP_short	ESRRA	2	GM12878	MEME
SPP_short	GABPA	2	GM12878	MEME
SPP_short	MEF2C	2	GM12878	MEME
MOBI	E2F8	2	GM12878	MEME
MOBI	SPI1	3	GM12878	MEME
MOBI	ZBED1	1	GM12878	MEME
MOBI	E2F4	0	GM12878	MEME
MOBI	IRF3	0	GM12878	MEME
MOBI	USF1	1	GM12878	MEME
MOBI	JUND	2	GM12878	MEME
MOBI	HSF1	4	GM12878	MEME
MOBI	NFATC3	0	GM12878	MEME
MOBI	TCF7	3	GM12878	MEME
MOBI	ETS1	3	GM12878	MEME
MOBI	YY1	4	GM12878	MEME
MOBI	CEBPB	2	GM12878	MEME
MOBI	MEF2B	1	GM12878	MEME
MOBI	TBX21	3	GM12878	MEME
MOBI	NR2C2	2	GM12878	MEME
MOBI	NR2C1	1	GM12878	MEME
MOBI	ZSCAN29	2	GM12878	MEME
MOBI	CREM	2	GM12878	MEME
MOBI	PAX5	3	GM12878	MEME
MOBI	BHLHE40	1	GM12878	MEME
MOBI	ZZZ3	0	GM12878	MEME
MOBI	NFATC1	2	GM12878	MEME
MOBI	SP1	1	GM12878	MEME
MOBI	IRF5	1	GM12878	MEME
MOBI	BCL11A	0	GM12878	MEME
MOBI	ZNF384	2	GM12878	MEME
MOBI	ETV6	1	GM12878	MEME
MOBI	RUNX3	3	GM12878	MEME
MOBI	FOS	1	GM12878	MEME
MOBI	EBF1	2	GM12878	MEME
MOBI	IRF4	1	GM12878	MEME
MOBI	ELK1	2	GM12878	MEME
MOBI	JUNB	2	GM12878	MEME
MOBI	RXRA	0	GM12878	MEME
MOBI	NR2F1	2	GM12878	MEME
MOBI	MAFK	2	GM12878	MEME
MOBI	BATF	3	GM12878	MEME
MOBI	ZBTB33	0	GM12878	MEME
MOBI	PKNOX1	0	GM12878	MEME
MOBI	CTCF	1	GM12878	MEME
MOBI	USF2	2	GM12878	MEME
MOBI	ELF1	2	GM12878	MEME
MOBI	ATF2	1	GM12878	MEME
MOBI	RFX5	2	GM12878	MEME
MOBI	YBX1	0	GM12878	MEME
MOBI	KLF5	0	GM12878	MEME
MOBI	CUX1	1	GM12878	MEME
MOBI	MEF2A	2	GM12878	MEME
MOBI	NFIC	0	GM12878	MEME
MOBI	SRF	1	GM12878	MEME
MOBI	ZNF143	0	GM12878	MEME
MOBI	ATF7	1	GM12878	MEME
MOBI	TCF12	1	GM12878	MEME
MOBI	NRF1	2	GM12878	MEME
MOBI	PAX8	2	GM12878	MEME
MOBI	SMAD5	0	GM12878	MEME
MOBI	RELA	3	GM12878	MEME
MOBI	MAX	1	GM12878	MEME
MOBI	ESRRA	2	GM12878	MEME
MOBI	GABPA	4	GM12878	MEME
MOBI	MEF2C	2	GM12878	MEME
SPP	THRA	2	K562	MEME
SPP	E2F8	2	K562	MEME
SPP	SPI1	3	K562	MEME
SPP	ZBED1	1	K562	MEME
SPP	ATF4	2	K562	MEME
SPP	ZBTB7A	1	K562	MEME
SPP	CREB3	0	K562	MEME
SPP	USF1	2	K562	MEME
SPP	JUND	3	K562	MEME
SPP	VEZF1	3	K562	MEME
SPP	POU5F1	1	K562	MEME
SPP	NFATC3	0	K562	MEME
SPP	TCF7	2	K562	MEME
SPP	ETS1	1	K562	MEME
SPP	YY1	3	K562	MEME
SPP	JUN	3	K562	MEME
SPP	HES1	0	K562	MEME
SPP	CEBPB	2	K562	MEME
SPP	MEF2D	2	K562	MEME
SPP	ZNF263	5	K562	MEME
SPP	IRF2	3	K562	MEME
SPP	NR2C2	0	K562	MEME
SPP	NR2C1	1	K562	MEME
SPP	ZSCAN29	3	K562	MEME
SPP	MGA	1	K562	MEME
SPP	E2F1	3	K562	MEME
SPP	CREM	3	K562	MEME
SPP	BHLHE40	2	K562	MEME
SPP	GATA1	2	K562	MEME
SPP	SREBF1	2	K562	MEME
SPP	RFX1	2	K562	MEME
SPP	ZHX1	0	K562	MEME
SPP	ZZZ3	1	K562	MEME
SPP	KLF13	5	K562	MEME
SPP	KLF1	4	K562	MEME
SPP	SP1	2	K562	MEME
SPP	FOXJ2	2	K562	MEME
SPP	TEAD2	1	K562	MEME
SPP	ZNF384	2	K562	MEME
SPP	ETV6	5	K562	MEME
SPP	NR3C1	0	K562	MEME
SPP	FOS	0	K562	MEME
SPP	IRF9	0	K562	MEME
SPP	CREB3L1	2	K562	MEME
SPP	NR2F6	2	K562	MEME
SPP	ATF3	4	K562	MEME
SPP	HMBOX1	1	K562	MEME
SPP	ELK1	2	K562	MEME
SPP	JUNB	2	K562	MEME
SPP	EGR1	3	K562	MEME
SPP	NR2F1	3	K562	MEME
SPP	E2F7	3	K562	MEME
SPP	MAFK	2	K562	MEME
SPP	NFE2L1	2	K562	MEME
SPP	MAFF	2	K562	MEME
SPP	MEIS2	0	K562	MEME
SPP	GATA2	2	K562	MEME
SPP	ZBTB33	0	K562	MEME
SPP	NEUROD1	0	K562	MEME
SPP	ZNF740	2	K562	MEME
SPP	PKNOX1	0	K562	MEME
SPP	CTCF	2	K562	MEME
SPP	MNT	2	K562	MEME
SPP	USF2	2	K562	MEME
SPP	HINFP	1	K562	MEME
SPP	ELF1	3	K562	MEME
SPP	ZNF282	1	K562	MEME
SPP	FOXA1	3	K562	MEME
SPP	ATF2	1	K562	MEME
SPP	RFX5	2	K562	MEME
SPP	GMEB1	2	K562	MEME
SPP	YBX1	1	K562	MEME
SPP	CUX1	1	K562	MEME
SPP	MEF2A	2	K562	MEME
SPP	FOSL1	2	K562	MEME
SPP	ETV1	2	K562	MEME
SPP	ZBTB2	1	K562	MEME
SPP	LEF1	2	K562	MEME
SPP	NFIC	2	K562	MEME
SPP	DNMT1	0	K562	MEME
SPP	ZNF143	2	K562	MEME
SPP	ATF7	1	K562	MEME
SPP	TCF12	1	K562	MEME
SPP	NRF1	3	K562	MEME
SPP	ETS2	0	K562	MEME
SPP	SMAD5	0	K562	MEME
SPP	RELA	0	K562	MEME
SPP	MAX	3	K562	MEME
SPP	ELF4	3	K562	MEME
SPP	KLF16	0	K562	MEME
SPP	TEAD4	0	K562	MEME
SPP	CEBPG	2	K562	MEME
SPP	ZNF274	4	K562	MEME
SPP	MAFG	4	K562	MEME
SPP	NFE2	2	K562	MEME
SPP	ESRRA	2	K562	MEME
SPP	NR4A1	1	K562	MEME
SPP	MYBL2	0	K562	MEME
SPP	GABPA	5	K562	MEME
SPP_short	THRA	3	K562	MEME
SPP_short	E2F8	2	K562	MEME
SPP_short	SPI1	2	K562	MEME
SPP_short	ZBED1	1	K562	MEME
SPP_short	ATF4	2	K562	MEME
SPP_short	ZBTB7A	3	K562	MEME
SPP_short	CREB3	0	K562	MEME
SPP_short	USF1	2	K562	MEME
SPP_short	JUND	3	K562	MEME
SPP_short	VEZF1	2	K562	MEME
SPP_short	POU5F1	1	K562	MEME
SPP_short	NFATC3	1	K562	MEME
SPP_short	TCF7	2	K562	MEME
SPP_short	ETS1	2	K562	MEME
SPP_short	YY1	4	K562	MEME
SPP_short	JUN	3	K562	MEME
SPP_short	HES1	1	K562	MEME
SPP_short	CEBPB	1	K562	MEME
SPP_short	MEF2D	2	K562	MEME
SPP_short	ZNF263	4	K562	MEME
SPP_short	IRF2	4	K562	MEME
SPP_short	NR2C2	1	K562	MEME
SPP_short	NR2C1	2	K562	MEME
SPP_short	ZSCAN29	3	K562	MEME
SPP_short	MGA	2	K562	MEME
SPP_short	E2F1	2	K562	MEME
SPP_short	CREM	2	K562	MEME
SPP_short	BHLHE40	3	K562	MEME
SPP_short	GATA1	1	K562	MEME
SPP_short	SREBF1	2	K562	MEME
SPP_short	RFX1	3	K562	MEME
SPP_short	ZHX1	2	K562	MEME
SPP_short	ZZZ3	0	K562	MEME
SPP_short	KLF13	4	K562	MEME
SPP_short	KLF1	2	K562	MEME
SPP_short	SP1	2	K562	MEME
SPP_short	FOXJ2	4	K562	MEME
SPP_short	TEAD2	2	K562	MEME
SPP_short	ZNF384	3	K562	MEME
SPP_short	ETV6	4	K562	MEME
SPP_short	NR3C1	0	K562	MEME
SPP_short	FOS	0	K562	MEME
SPP_short	IRF9	0	K562	MEME
SPP_short	CREB3L1	2	K562	MEME
SPP_short	NR2F6	2	K562	MEME
SPP_short	ATF3	3	K562	MEME
SPP_short	HMBOX1	2	K562	MEME
SPP_short	ELK1	2	K562	MEME
SPP_short	JUNB	2	K562	MEME
SPP_short	EGR1	4	K562	MEME
SPP_short	NR2F1	2	K562	MEME
SPP_short	E2F7	2	K562	MEME
SPP_short	MAFK	3	K562	MEME
SPP_short	NFE2L1	2	K562	MEME
SPP_short	MAFF	4	K562	MEME
SPP_short	MEIS2	1	K562	MEME
SPP_short	GATA2	2	K562	MEME
SPP_short	ZBTB33	1	K562	MEME
SPP_short	NEUROD1	0	K562	MEME
SPP_short	ZNF740	2	K562	MEME
SPP_short	PKNOX1	0	K562	MEME
SPP_short	CTCF	2	K562	MEME
SPP_short	MNT	1	K562	MEME
SPP_short	USF2	2	K562	MEME
SPP_short	HINFP	0	K562	MEME
SPP_short	ELF1	3	K562	MEME
SPP_short	ZNF282	2	K562	MEME
SPP_short	FOXA1	3	K562	MEME
SPP_short	ATF2	1	K562	MEME
SPP_short	RFX5	2	K562	MEME
SPP_short	GMEB1	3	K562	MEME
SPP_short	YBX1	0	K562	MEME
SPP_short	CUX1	1	K562	MEME
SPP_short	MEF2A	2	K562	MEME
SPP_short	FOSL1	2	K562	MEME
SPP_short	ETV1	2	K562	MEME
SPP_short	ZBTB2	0	K562	MEME
SPP_short	LEF1	2	K562	MEME
SPP_short	NFIC	2	K562	MEME
SPP_short	DNMT1	0	K562	MEME
SPP_short	ZNF143	2	K562	MEME
SPP_short	ATF7	1	K562	MEME
SPP_short	TCF12	1	K562	MEME
SPP_short	NRF1	1	K562	MEME
SPP_short	ETS2	0	K562	MEME
SPP_short	SMAD5	0	K562	MEME
SPP_short	RELA	0	K562	MEME
SPP_short	MAX	2	K562	MEME
SPP_short	ELF4	3	K562	MEME
SPP_short	KLF16	0	K562	MEME
SPP_short	TEAD4	0	K562	MEME
SPP_short	CEBPG	2	K562	MEME
SPP_short	ZNF274	3	K562	MEME
SPP_short	MAFG	4	K562	MEME
SPP_short	NFE2	2	K562	MEME
SPP_short	ESRRA	2	K562	MEME
SPP_short	NR4A1	1	K562	MEME
SPP_short	MYBL2	1	K562	MEME
SPP_short	GABPA	3	K562	MEME
MOBI	THRA	3	K562	MEME
MOBI	E2F8	2	K562	MEME
MOBI	SPI1	4	K562	MEME
MOBI	ZBED1	1	K562	MEME
MOBI	ATF4	1	K562	MEME
MOBI	ZBTB7A	3	K562	MEME
MOBI	CREB3	1	K562	MEME
MOBI	USF1	1	K562	MEME
MOBI	JUND	3	K562	MEME
MOBI	VEZF1	2	K562	MEME
MOBI	POU5F1	1	K562	MEME
MOBI	NFATC3	0	K562	MEME
MOBI	TCF7	2	K562	MEME
MOBI	ETS1	1	K562	MEME
MOBI	YY1	4	K562	MEME
MOBI	JUN	3	K562	MEME
MOBI	HES1	1	K562	MEME
MOBI	CEBPB	1	K562	MEME
MOBI	MEF2D	1	K562	MEME
MOBI	ZNF263	4	K562	MEME
MOBI	IRF2	5	K562	MEME
MOBI	NR2C2	2	K562	MEME
MOBI	NR2C1	3	K562	MEME
MOBI	ZSCAN29	2	K562	MEME
MOBI	MGA	0	K562	MEME
MOBI	E2F1	2	K562	MEME
MOBI	CREM	3	K562	MEME
MOBI	BHLHE40	1	K562	MEME
MOBI	GATA1	1	K562	MEME
MOBI	SREBF1	2	K562	MEME
MOBI	RFX1	2	K562	MEME
MOBI	ZHX1	1	K562	MEME
MOBI	ZZZ3	0	K562	MEME
MOBI	KLF13	5	K562	MEME
MOBI	KLF1	2	K562	MEME
MOBI	SP1	2	K562	MEME
MOBI	FOXJ2	3	K562	MEME
MOBI	TEAD2	2	K562	MEME
MOBI	ZNF384	3	K562	MEME
MOBI	ETV6	2	K562	MEME
MOBI	NR3C1	0	K562	MEME
MOBI	FOS	0	K562	MEME
MOBI	IRF9	0	K562	MEME
MOBI	CREB3L1	2	K562	MEME
MOBI	NR2F6	2	K562	MEME
MOBI	ATF3	2	K562	MEME
MOBI	HMBOX1	3	K562	MEME
MOBI	ELK1	3	K562	MEME
MOBI	JUNB	1	K562	MEME
MOBI	EGR1	5	K562	MEME
MOBI	NR2F1	4	K562	MEME
MOBI	E2F7	3	K562	MEME
MOBI	MAFK	2	K562	MEME
MOBI	NFE2L1	2	K562	MEME
MOBI	MAFF	2	K562	MEME
MOBI	MEIS2	2	K562	MEME
MOBI	GATA2	3	K562	MEME
MOBI	ZBTB33	0	K562	MEME
MOBI	NEUROD1	0	K562	MEME
MOBI	ZNF740	2	K562	MEME
MOBI	PKNOX1	0	K562	MEME
MOBI	CTCF	1	K562	MEME
MOBI	MNT	1	K562	MEME
MOBI	USF2	1	K562	MEME
MOBI	HINFP	1	K562	MEME
MOBI	ELF1	2	K562	MEME
MOBI	ZNF282	1	K562	MEME
MOBI	FOXA1	2	K562	MEME
MOBI	ATF2	1	K562	MEME
MOBI	RFX5	2	K562	MEME
MOBI	GMEB1	2	K562	MEME
MOBI	YBX1	4	K562	MEME
MOBI	CUX1	3	K562	MEME
MOBI	MEF2A	2	K562	MEME
MOBI	FOSL1	2	K562	MEME
MOBI	ETV1	3	K562	MEME
MOBI	ZBTB2	0	K562	MEME
MOBI	LEF1	3	K562	MEME
MOBI	NFIC	2	K562	MEME
MOBI	DNMT1	0	K562	MEME
MOBI	ZNF143	1	K562	MEME
MOBI	ATF7	1	K562	MEME
MOBI	TCF12	0	K562	MEME
MOBI	NRF1	2	K562	MEME
MOBI	ETS2	0	K562	MEME
MOBI	SMAD5	0	K562	MEME
MOBI	RELA	0	K562	MEME
MOBI	MAX	1	K562	MEME
MOBI	ELF4	3	K562	MEME
MOBI	KLF16	0	K562	MEME
MOBI	TEAD4	1	K562	MEME
MOBI	CEBPG	3	K562	MEME
MOBI	ZNF274	3	K562	MEME
MOBI	MAFG	3	K562	MEME
MOBI	NFE2	1	K562	MEME
MOBI	ESRRA	2	K562	MEME
MOBI	NR4A1	0	K562	MEME
MOBI	MYBL2	1	K562	MEME
MOBI	GABPA	3	K562	MEME
